Country_full,Number_of_institutions
China,1358
United States,1173
India,553
Spain,499
France,479
Russia,366
Germany,364
Japan,318
United Kingdom,269
Italy,254
Brazil,245
Multinational,202
South Korea,196
Iran,195
Canada,158
Turkey,152
Australia,136
Taiwan,123
Poland,113
Mexico,98
Pakistan,93
Egypt,89
Ukraine,83
Portugal,80
Netherlands,75
Argentina,74
Indonesia,74
Iraq,74
Colombia,59
Saudi Arabia,59
Czechia,58
Chile,56
Switzerland,54
Sweden,53
Vietnam,53
Algeria,51
Romania,49
Israel,47
Malaysia,47
Norway,47
Bangladesh,46
Greece,46
Thailand,46
Morocco,44
Austria,43
Nigeria,43
Peru,42
South Africa,37
Singapore,36
Belgium,35
Ireland,34
Tunisia,32
United Arab Emirates,31
Finland,30
Hungary,30
Bulgaria,28
Ethiopia,28
Jordan,28
Ecuador,27
New Zealand,27
Denmark,25
Uzbekistan,24
Slovakia,23
Hong Kong SAR China,21
Kazakhstan,20
Croatia,18
Philippines,18
Cyprus,14
Slovenia,14
Kuwait,13
Lithuania,13
Sri Lanka,13
Ghana,12
Kenya,12
Lebanon,12
Serbia,12
Oman,11
Qatar,11
Uganda,9
Azerbaijan,8
Belarus,8
Palestinian Territories,8
Tanzania,8
Yemen,8
Bahrain,7
Bosnia & Herzegovina,7
Cameroon,7
Georgia,7
Cuba,6
Estonia,6
Latvia,6
Nepal,6
Uruguay,6
Burkina Faso,5
Luxembourg,5
Macao SAR China,5
Panama,5
Puerto Rico,5
Sudan,5
Venezuela,5
Albania,4
Armenia,4
Moldova,4
Mongolia,4
Zambia,4
Zimbabwe,4
Costa Rica,3
Iceland,3
North Macedonia,3
Senegal,3
Syria,3
Benin,2
Botswana,2
Brunei,2
Congo - Kinshasa,2
Côte d’Ivoire,2
Fiji,2
Kosovo,2
Libya,2
Malawi,2
Malta,2
Namibia,2
Afghanistan,1
Barbados,1
Bolivia,1
Congo - Brazzaville,1
Eswatini,1
Faroe Islands,1
French Guiana,1
Gambia,1
Grenada,1
Guadeloupe,1
Honduras,1
Jamaica,1
Kyrgyzstan,1
Lesotho,1
Madagascar,1
Martinique,1
Mauritius,1
Montenegro,1
Mozambique,1
North Korea,1
Paraguay,1
Rwanda,1
Réunion,1
Sierra Leone,1
Tajikistan,1
Togo,1
Trinidad & Tobago,1
Vatican City,1
