"","iso_a3","name","VRM_mean"
"1","ZWE","Zimbabwe",0.00071386179636484
"2","ZMB","Zambia",0.000336691789105989
"3","YEM","Yemen",0.00297931790620317
"4","VNM","Vietnam",0.00533882588215081
"5","VEN","Venezuela",0.00205468356421184
"6","VAT","Vatican",8.88839495019056e-05
"7","VUT","Vanuatu",0.00314772470543782
"8","UZB","Uzbekistan",0.00096116453091532
"9","URY","Uruguay",0.000187097320234635
"10","FSM","Micronesia",0.000166133865235452
"11","MHL","Marshall Is.",8.75734372129955e-07
"12","MNP","N. Mariana Is.",0.000128157014842145
"13","VIR","U.S. Virgin Is.",0.000203582039648609
"14","GUM","Guam",0.000187874222319806
"15","ASM","American Samoa",0.000341507507073402
"16","PRI","Puerto Rico",0.00211472297087312
"17","USA","United States of America",0.00225210870014934
"18","SGS","S. Geo. and the Is.",0.00649832126994928
"19","IOT","Br. Indian Ocean Ter.",1.24000895596055e-06
"20","SHN","Saint Helena",0.000386061927808138
"21","PCN","Pitcairn Is.",2.04608671220778e-06
"22","AIA","Anguilla",1.16839737529517e-05
"23","FLK","Falkland Is.",0.000731173126301396
"24","CYM","Cayman Is.",2.1481976162363e-06
"25","BMU","Bermuda",1.12686295778985e-05
"26","VGB","British Virgin Is.",0.000315593159655236
"27","TCA","Turks and Caicos Is.",3.28097232227265e-06
"28","MSR","Montserrat",0.000339231279212981
"29","JEY","Jersey",5.0367330914014e-05
"30","GGY","Guernsey",3.89934648410417e-05
"31","IMN","Isle of Man",0.000517626409418881
"32","GBR","United Kingdom",0.00131699880579719
"33","ARE","United Arab Emirates",0.000624714822884521
"34","UKR","Ukraine",0.000463995814463763
"35","UGA","Uganda",0.000867832494154724
"36","TKM","Turkmenistan",0.00030632256665675
"37","TUR","Turkey",0.00431990221758118
"38","TUN","Tunisia",0.000496339063808602
"39","TTO","Trinidad and Tobago",0.000300004845485091
"40","TON","Tonga",1.06456764115137e-05
"41","TGO","Togo",0.000625992847380985
"42","TLS","Timor-Leste",0.00431465157972915
"43","THA","Thailand",0.00235656855190013
"44","TZA","Tanzania",0.000869432280045737
"45","TJK","Tajikistan",0.0146601897410242
"46","TWN","Taiwan",0.01212419634693
"47","SYR","Syria",0.000373096507393625
"48","CHE","Switzerland",0.010546621838424
"49","SWE","Sweden",0.000580500882361783
"50","SWZ","eSwatini",0.00251164360670373
"51","SUR","Suriname",0.000944872389574311
"52","SSD","S. Sudan",0.000176754516424924
"53","SDN","Sudan",0.000270017439562232
"54","LKA","Sri Lanka",0.00180867582025712
"55","ESP","Spain",0.0029156060590331
"56","KOR","South Korea",0.00563067189757835
"57","ZAF","South Africa",0.001416644345519
"58","SOM","Somalia",0.000306184495533232
"59","-99","Somaliland",0.000972318911323479
"60","SLB","Solomon Is.",0.00326134241186082
"61","SVK","Slovakia",0.0037304894794683
"62","SVN","Slovenia",0.00744223307209233
"63","SGP","Singapore",0.000134798858198337
"64","SLE","Sierra Leone",0.00114722718412582
"65","SYC","Seychelles",0.000244078454367506
"66","SRB","Serbia",0.00333959450857544
"67","SEN","Senegal",4.58687411635335e-05
"68","SAU","Saudi Arabia",0.000772647034904058
"69","STP","São Tomé and Principe",0.000820231746183708
"70","SMR","San Marino",0.00476412940770388
"71","WSM","Samoa",0.000506696116644889
"72","VCT","St. Vin. and Gren.",0.000271166173843085
"73","LCA","Saint Lucia",0.00151980936061591
"74","KNA","St. Kitts and Nevis",0.000236375439271796
"75","RWA","Rwanda",0.00466258899012411
"76","RUS","Russia",0.00156946738159216
"77","ROU","Romania",0.0029290767349837
"78","QAT","Qatar",1.16602316211356e-05
"79","PRT","Portugal",0.00173133520594867
"80","POL","Poland",0.000353876217062663
"81","PHL","Philippines",0.00408422017358784
"82","PER","Peru",0.00580524426715092
"83","PRY","Paraguay",0.000102505528545997
"84","PNG","Papua New Guinea",0.00567480305805587
"85","PAN","Panama",0.00337216248361593
"86","PLW","Palau",7.8248555259582e-05
"87","PAK","Pakistan",0.00476287372141448
"88","OMN","Oman",0.0011267650517492
"89","-99","Norway",0.00383202043996877
"90","PRK","North Korea",0.00762884098405362
"91","NGA","Nigeria",0.000442728691852358
"92","NER","Niger",0.000164360997551267
"93","NIC","Nicaragua",0.0016523243473218
"94","NZL","New Zealand",0.00876623217972144
"95","NIU","Niue",4.9870548537001e-05
"96","COK","Cook Is.",0.000159095041453838
"97","NLD","Netherlands",1.64560193642783e-05
"98","ABW","Aruba",1.28202441374015e-05
"99","CUW","Curaçao",9.2120433691889e-05
"100","NPL","Nepal",0.016314547197641
"101","NRU","Nauru",3.13679765895358e-06
"102","NAM","Namibia",0.000731958939328349
"103","MOZ","Mozambique",0.000563512182595242
"104","MAR","Morocco",0.00192722962372619
"105","ESH","W. Sahara",7.23581858567611e-05
"106","MNE","Montenegro",0.00853029117570259
"107","MNG","Mongolia",0.00164661422853346
"108","MDA","Moldova",0.000738251787631518
"109","MCO","Monaco",0.0110520562157035
"110","MEX","Mexico",0.00356408869082961
"111","MUS","Mauritius",0.000765497970860451
"112","MRT","Mauritania",8.56692383598317e-05
"113","MLT","Malta",0.000283431523712352
"114","MLI","Mali",9.29905328127771e-05
"115","MDV","Maldives",1.86104013977229e-07
"116","MYS","Malaysia",0.00383598470359394
"117","MWI","Malawi",0.0011499832934427
"118","MDG","Madagascar",0.00211573246295203
"119","MKD","North Macedonia",0.00576029489885139
"120","LUX","Luxembourg",0.00176022748928517
"121","LTU","Lithuania",0.000106211126000778
"122","LIE","Liechtenstein",0.0147548099048436
"123","LBY","Libya",0.000180457957947819
"124","LBR","Liberia",0.000723714466342547
"125","LSO","Lesotho",0.00795508864308324
"126","LBN","Lebanon",0.00448544016107917
"127","LVA","Latvia",0.000113682727301652
"128","LAO","Laos",0.0067436129009092
"129","KGZ","Kyrgyzstan",0.0126988463688144
"130","KWT","Kuwait",8.67029925757379e-06
"131","-99","Kosovo",0.00537899339438549
"132","KIR","Kiribati",8.16701012971667e-07
"133","KEN","Kenya",0.00074684397501252
"134","KAZ","Kazakhstan",0.000495372025897498
"135","JOR","Jordan",0.000859285863534038
"136","JPN","Japan",0.00640972469924986
"137","JAM","Jamaica",0.00236194861853229
