"","Scenario","Payload"
"1","Unmanned aircraft system used to collect spatial and temporal imagery data to monitor the dynamics, nesting success, and colony boundary of a black-headed gull colony without disturbance.","RGB"
"2","UAS overflights were used to acquire RGB imagery for modeling the spatial distribution of free-ranging cattle and predicting species densities, supporting wildlife surveillance, habitat monitoring, ecological research, wildlife management, and rangeland planning.","RGB"
"3","Used unmanned aircraft systems (drones) to collect high-resolution RGB imagery for non-invasive detection of polar bears and quantification of their vigilance behaviors.","RGB"
"4","UAS-mounted RGB camera used to capture aerial imagery for fine-scale density estimation of roosting waterbirds, analysis of intra- and inter-species interactions, and habitat classification during high-tide to inform temporal habitat choices.","RGB"
"5","The UAS (drone) was used to collect fine-resolution true color (RGB) imagery to automatically classify plant communities and map within-wetland changes in a wetland landscape.","RGB"
"6","UAS-based RGB imagery was used to rapidly and economically quantify streambank erosion and deposition at site-specific to river network scales, detecting bank retreats within a meter and validated against terrestrial laser scanning (TLS) and RTK GPS.","RGB"
"7","Drone-mounted imagery was used to characterize microclimatic variability (near-ground temperature, relative humidity, and vapor pressure deficit) across post-wildfire landscapes to identify microclimate refugia and improve reforestation success.","RGB"
"8","Drone-mounted high-resolution RGB imagery was used to map ungulate host (red deer, fallow deer, cattle) distribution and abundance at fine spatial scales, enabling modeling of environmental determinants and assessment of spatial tuberculosis risk.","RGB"
"9","A rotary-wing UAS equipped with a consumer camera was used to capture aerial photographs for identifying and counting wintering waterbirds and for mapping mudflat and marsh habitats via orthomosaics, aiding species identification, population assessment, and habitat characterization.","RGB"
"10","Small unmanned aircraft systems equipped with RGB imagery for Structure from Motion photogrammetry to generate DEMs of difference and detect salmonid redds (spawning nests) and monitor their evolution over time.","RGB"
"11","UAS-based photogrammetry (RGB imagery) used to capture streambank topography and quantify bank movement (erosion and deposition)","RGB"
"12","Unmanned aircraft systems (drones) equipped with RGB imagery were used to generate remote sensing products (DSM and DTM) and develop an automatic shrub identification algorithm (CODA) for assessing shrub-encroached grassland degradation.","RGB"
"13","A UAS (drone) equipped with an RGB camera was used to acquire images for automatic detection of Brandt’s vole holes, enabling large-scale, multi-season rodent damage monitoring with deep learning.","RGB"
"14","Consumer-grade unmanned aerial vehicles equipped with RGB cameras were used to capture aerial photographs and videos of free-ranging cetaceans for photogrammetric morphometric analysis (animal size measurements).","RGB"
"15","Drone-mounted RGB imagery was used to collect ultra-high spatial resolution images for early-stage detection and localization of encroaching eastern redcedar using semantic segmentation algorithms","RGB"
"16","The study uses a small unmanned aircraft system (drone) equipped with an RGB camera to acquire ultrahigh-resolution imagery for extracting forest–agriculture ecotones, constructing a photogrammetric canopy height model, delineating ecotones, and quantifying small biotopes and landscape structure.","RGB"
"17","Platform and sensor used for aerial detection of Persicaria perfoliata patches and aerial release of Rhinoncomimus latipes for spatially targeted biological control in hard-to-access areas.","RGB"
"18","True-colour (RGB) UAS imagery was used to map and classify non-submerged aquatic vegetation at species, growth-form, and dominant-taxon levels, comparing manual and automated classification methods for operational vegetation mapping.","RGB"
"19","A drone-mounted RGB camera was used to collect aerial imagery to conduct presence surveys and detect Red-cockaded Woodpecker cavity trees using deep learning object detection (YOLO).","RGB"
"20","Drones equipped with RGB cameras collected overlapping aerial photos, which were processed via structure-from-motion photogrammetry to generate 3D models and canopy height maps for individual tree detection and forest inventory mapping.","RGB"
"21","Unmanned Aircraft Systems equipped with RGB cameras using digital photogrammetry to produce high-resolution 2D and 3D maps for monitoring and quantifying coastal erosion and accretion over time.","RGB"
"22","The drone-mounted RGB camera is used to capture photographic material for recognizing, counting, and localizing individual animals (cattle, smaller domestic animals, and carnivores) in the field.","RGB"
"23","High-resolution UAV imagery was used to estimate fractional vegetation cover (FVC) and aboveground biomass (AGB) of Spartina alterniflora in coastal wetlands.","RGB"
"24","Unmanned aerial vehicle (drone) equipped with high-resolution (≤0.1 m) RGB imagery was used to study spatial patterns of the desert plants Nitraria tangutorum and Reaumuria songarica under varying sand burial depths.","RGB"
"25","Unmanned aerial vehicle (drone)–based RGB imagery was used to develop and validate stepwise regression models for estimating water quality parameters (total suspended solids, total organic carbon, and chemical oxygen demand) in Ukkadam Lake.","RGB"
"26","Use of UAV-acquired RGB imagery for automatic mosaic, registration, classification, and rapid land information inspection to monitor land use changes in quake-stricken Chengdu plain","RGB"
"27","Unmanned aerial vehicles (rotary-wing and fixed-wing drones) are used to collect high-resolution imagery to characterize eddy covariance footprints and map terrain and vegetation patterns, enabling scaling of environmental sensor network observations and input to distributed ecohydrologic models.","RGB"
"28","Drone-mounted 4k video camera used to monitor marine megafauna (turtles, seabirds, large fish, small cetaceans) to assess impacts of the Fundao dam tailings disaster and deepen behavioral ecology knowledge by optimizing flight patterns and camera settings.","RGB"
"29","High-resolution aerial pictures taken from the drone were used to identify micro-habitat structures and generate habitat suitability models for larvae of two lycaenid butterfly species.","RGB"
"30","UAV-based RGB imagery and Structure from Motion photogrammetry were used to generate high-spatiotemporal-resolution 3D representations of mangrove canopy, estimate biophysical properties, and produce detailed mangrove extent maps for monitoring mangrove dynamics.","RGB"
"31","Unmanned aerial vehicles equipped with cameras are used for aerial photography to count and monitor European geese populations during migration and breeding.","RGB"
"32","The drone was used to conduct aerial surveys and capture high-quality RGB imagery to detect stranded marine mammals, seabirds, and marine turtles during beach monitoring.","RGB"
"33","Fixed-wing UAV used to acquire high-resolution aerial images to monitor and count critically endangered gharial and mugger crocodiles along the Babai River in Bardia National Park.","RGB"
"34","High-resolution RGB imagery collected by a drone was processed and classified to generate seasonal maps of wetland vegetation communities, facilitating automated monitoring of ecological changes.","RGB"
"35","Use of drones equipped with RGB imagery to monitor and accurately count wildlife populations (replica seabird colonies)","RGB"
"36","UAV-mounted camera imagery was used to monitor yellow flower coverage as an indicator of target species presence for result-based biodiversity conservation payments and to compare cost-effectiveness against expert on-site monitoring.","RGB"
"37","High-resolution RGB imagery from drone used for object-based detection and classification of trees to determine tree density","RGB"
"38","UAV-mounted RGB and thermal infrared sensors were used for wide‐scale remote sensing and rapid inversion of bare surface soil moisture content.","RGB"
"39","The drone equipped with an RGB camera was used to acquire remote sensing imagery for multi-temporal monitoring and detection of invasive aquatic plant species (water hyacinth).","RGB"
