paper_id,model,prompt_template,time_taken,Study Type,Application,Platform,Sensor,Comment,error
D5,o4-mini,directive,6.5201098918914795,NA,NA,Drone,Other,An autonomous UAV equipped with an RF telemetry system is used for triangulation and geo-location of tagged wildlife to improve tracking efficiency and reduce cost and effort.,
D7,o4-mini,directive,7.832351922988892,NA,NA,Drone,Physical/chemical sensor,Unmanned aerial systems equipped with temperature and humidity sensors to enable beyond line-of-sight aerial surveys of cetacean distribution and density under variable Arctic weather conditions.,
D8,o4-mini,directive,12.103286027908325,NA,NA,Drone,Multispectral,"A small unmanned aircraft system was used to collect high-resolution imagery for deriving centimeter-scale topography and water surface elevations, vegetation imagery (including vegetation-top elevation), and NDVI mapping to analyze groundwater–surface water exchange patterns.",
D9,o4-mini,directive,6.4296650886535645,NA,NA,Drone,RGB,"Unmanned aircraft system used to collect spatial and temporal imagery data to monitor the dynamics, nesting success, and colony boundary of a black-headed gull colony without disturbance.",
D12,o4-mini,directive,5.092534065246582,NA,NA,Drone,NA,Unmanned aircraft systems (UASs) are used as a platform for aerial wildlife surveys to monitor wildlife populations and their habitat.,
D13,o4-mini,directive,10.039529800415039,NA,NA,Drone,RGB,"UAS overflights were used to acquire RGB imagery for modeling the spatial distribution of free-ranging cattle and predicting species densities, supporting wildlife surveillance, habitat monitoring, ecological research, wildlife management, and rangeland planning.",
D14,o4-mini,directive,3.683882713317871,NA,NA,Drone,RGB,Used unmanned aircraft systems (drones) to collect high-resolution RGB imagery for non-invasive detection of polar bears and quantification of their vigilance behaviors.,
D15,o4-mini,directive,13.747539043426514,NA,NA,Drone,"['Physical/chemical sensor', 'Thermal infrared']",The drone (UAS) employs air quality sensors to monitor spot fires and thermal imaging to detect early wildfires and support autonomous patrolling while optimizing energy use.,
D16,o4-mini,directive,5.980303049087524,NA,NA,Drone,RGB,"UAS-mounted RGB camera used to capture aerial imagery for fine-scale density estimation of roosting waterbirds, analysis of intra- and inter-species interactions, and habitat classification during high-tide to inform temporal habitat choices.",
D18,o4-mini,directive,7.211004018783569,NA,NA,Drone,RGB,The UAS (drone) was used to collect fine-resolution true color (RGB) imagery to automatically classify plant communities and map within-wetland changes in a wetland landscape.,
D21,o4-mini,directive,8.060201406478882,NA,NA,Drone,RGB,"UAS-based RGB imagery was used to rapidly and economically quantify streambank erosion and deposition at site-specific to river network scales, detecting bank retreats within a meter and validated against terrestrial laser scanning (TLS) and RTK GPS.",
D23,o4-mini,directive,8.142638921737671,NA,NA,Drone,RGB,"Drone-mounted imagery was used to characterize microclimatic variability (near-ground temperature, relative humidity, and vapor pressure deficit) across post-wildfire landscapes to identify microclimate refugia and improve reforestation success.",
D25,o4-mini,directive,5.395452260971069,NA,NA,Drone,RGB,"Drone-mounted high-resolution RGB imagery was used to map ungulate host (red deer, fallow deer, cattle) distribution and abundance at fine spatial scales, enabling modeling of environmental determinants and assessment of spatial tuberculosis risk.",
D26,o4-mini,directive,6.967105150222778,NA,NA,Drone,RGB,"A rotary-wing UAS equipped with a consumer camera was used to capture aerial photographs for identifying and counting wintering waterbirds and for mapping mudflat and marsh habitats via orthomosaics, aiding species identification, population assessment, and habitat characterization.",
D27,o4-mini,directive,6.343935012817383,NA,NA,Drone,RGB,Small unmanned aircraft systems equipped with RGB imagery for Structure from Motion photogrammetry to generate DEMs of difference and detect salmonid redds (spawning nests) and monitor their evolution over time.,
D28,o4-mini,directive,3.3892087936401367,NA,NA,Drone,RGB,UAS-based photogrammetry (RGB imagery) used to capture streambank topography and quantify bank movement (erosion and deposition),
D29,o4-mini,directive,3.6522040367126465,NA,NA,Drone,RGB,Unmanned aircraft systems (drones) equipped with RGB imagery were used to generate remote sensing products (DSM and DTM) and develop an automatic shrub identification algorithm (CODA) for assessing shrub-encroached grassland degradation.,
